encabezado,clase
"Casos de Covid-19 en Yucatán, Quintana Roo, Campeche y Tabasco al 20 de junio",0
Continúa brigada de vacunación contra el covid-19 en García,0
"China, sin nuevos casos de coronavirus por primera vez",0
"Tras pandemia de Covid, vendrá pandemia de salud mental: experto",1
Alimentos antioxidantes que son escudos contra el cáncer,1
"Por coronavirus, Cancún será sede del Mundial de Pentatlón Moderno 2020",0
China alerta por neumonía más letal que el coronavirus; Kazajistan responde,1
Florida alerta ante un posible primer caso de viruela del mono,1
"Maduro anuncia ""cuarentena total"" en Venezuela por nuevo coronavirus",1
Casos confirmados de Covid-19 en Puebla al 28 de mayo,0
Piden disponer de recursos remanentes para atender coronavirus en la CDMX,0
Hacen filas en laboratorios para prueba de Covid-19 en Sonora,0
"OMS advierte que podría haber ""peores"" pandemias que el covid-19 en el futuro",1
Reportan segunda muerte por extraño brote de neumonía en China,1
Chinos salen en masa y sin miedo al virus,1
Cáncer de colon: cómo detectarlo y señales de advertencia,0
FMI advierte amenaza del coronavirus a economía,1
¿Qué hacer en casos positivos de coronavirus?,0
Cierran el Centro Nacional de las Artes por Covid,0
"Pánico por coronavirus, peor que la epidemia: Consejo Mundial de Viajes y Turismo",1
Gobernador de Coahuila suspende gira a Medio Oriente por coronavirus,0
Coronavirus transforma ciudades chinas en 'pueblos fantasma',1
Nos importa un carajo: Juan Ferrara 'explota' contra prensa por miedo al coronavirus,1
Alertan sobre desconfianza hacia la vacuna contra Covid-19,1
"Zacatecas, aún en semáforo naranja",0
China acepta que la OMS envíe expertos internacionales por coronavirus,0
Coronavirus no afecta jornada dominical,0
"Ante Covid-19 ya no habrá regreso a las aulas este semestre, acuerdan universidades del país",0
Wall Street tiene su peor semana en 12 años por coronavirus,1
Se fueron al abismo las ventas de floricultores por pandemia,1
Coronavirus. Peligro latente de pandemia,1
Al menos 43 muertos y 100 contagios por ébola en República Democrática del Congo,1
¿No habrá nueva normalidad? Bill Gates lanza predicción sobre el fin de la pandemia por covid-19,1
La ONU advirtió el riesgo de una carrera por la vacuna contra el coronavirus; fue ignorada,1
Canalizan hospitalizaciones por Covid-19 ante saturación de unidades médicas,0
AMLO: Hasta hoy no se tienen riesgos en México por posible propagación del coronavirus,1
Primer muerto en Panamá por coronavirus; Bolivia reporta los dos primeros casos,1
"Mapa del coronavirus en México; Querétaro, municipio con más casos activos",0
No existe el coronavirus,1
"No solo temen al covid, ahora también al dengue o Chikunguña",1
Aumenta el número de personas que acuden a realizarse pruebas de Covid en la CDMX,0
Facebook cierra oficinas en Londres y Singapur por caso de coronavirus,0
Campaña de prevención del coronavirus en Hidalgo lleva tres semanas,0
Padres de menores tienen miedo a segunda ola COVID-19,1
Repunta número de pacientes con covid-19 en Hospital General de Torreón,0
Viruela del mono se extiende; cinco países detectan contagios en un día,1
Lo que sabemos sobre el nuevo coronavirus chino,0
"El hambre, la amenaza del Covid-19 en Brasil",1
"Miedo, el freno para no detectar el VIH",1
OMS alerta sobre posible déficit de jeringas en 2022,1
Brasil suma 13 casos por coronavirus; aumenta número de sospechosos,0
Preocupa a Alfa que crisis de coronavirus escale y afecte a la industria,1
Coronavirus imparable: aumenta número de muertos por día,1
Se duplican ventas de gel antibacterial y cubrebocas,0
"Donald Trump aún no está fuera de peligro, dice su médico",1
"Por Covid-19, anuncian Grito de Independencia sin público en Guanajuato",0
"Por coronavirus, bolsas mundiales sufren su peor caída desde crisis 2008",1
"¿Médicos suicidas? Para el personal de salud, contraer el virus es un riesgo permanente",1
Visitante coreana no recibió protocolo de salud en Puebla,0
Ssa: México está listo para detectar nuevo coronavirus,0
IMSS construirá hospital Covid-19 en Autódromo Hermanos Rodríguez,0
"Corea del Norte impone estricto confinamiento nacional tras informar ""primeros"" casos de Covid",1
Mexicanos en frontera optan por vacuna en EU,0
"Por repunte de casos de Covid-19, IMSS recomienda no viajar en vacaciones de verano",0
"“Número 2” del gobierno británico, en cuarentena por posible caso de Covid-19",1
Ofrece Consejo Ciudadano apoyo emocional ante el Covid-19,0
"Tenemos que estar en alerta, pero no entrar en pánico: especialista sobre viruela del mono",1
¡Saturados! Reynosa y Victoria con hospitales 100% en ocupación de camas por covid,1
"Por coronavirus, intensifican medidas preventivas y de higiene en el Metro",0
CDMX permanece en semáforo naranja por Covid,0
Confirman segundo paciente con VIH que se cura con trasplante de células madre,0
Ha presentado depresión o síntomas de la enfermedad el 17.6% de los guanajuatenses,0
Italia ordena cerrar casi todos los comercios por coronavirus,0
Rusia reconoce muerte de un centenar de personal médico por coronavirus,0
"Tras coronavirus, Nueva York regresa lentamente a la normalidad; abren comercios",0
Notifican tres defunciones y 21 casos nuevos de covid-19 en Jalisco,0
¿Cómo se contagia el coronavirus que activó las alertas en China?,1
"Durante crisis por coronavirus, hombre esparce su saliva en el Metro",1
"Más de 3 mil mexicanos viven en China; consulados, en alerta por nuevo coronavirus",1
"Ébola causa 32 muertos en 74 casos en la RD del Congo, alerta la OMS",1
"¿Qué es CanSino, la farmacéutica china que también desarrolla vacuna contra Covid-19?",0
OMS pide a personas de bajo riesgo que no se salten la fila en la vacunación contra Covid,1
Epidemia de obesidad y diabetes agrava casos de coronavirus: López-Gatell,1
Aeroméxico restringe viajes a EU para pasajeros que hayan pasado por China,0
Italia repatriará a sus ciudadanos en Wuhan por riesgo de coronavirus,1
¿Cómo afecta el coronavirus a las personas con asma?,0
Farmacias de Nueva York podrán realizar pruebas para diagnosticar Covid-19 ,0
Madrid vive confinamiento en medio de puente por días festivos,1
OMS alerta a seis países africanos por brote de ébola,1
"Salud mental de los capitalinos ante Covid-19, reto del Congreso CDMX: Gabriela Quiroga",0
"En México, 35% de sobrevivientes de cáncer padecen de dolor crónico: Incan",0
Confirman primera chilena contagiada con coronavirus en crucero en Japón,1
La CDMX está preparada para cualquier contingencia por el coronavirus: Sheinbaum,0
Cifra de muertos por Covid-19 supera los 280 mil en todo el mundo,0
Descartan casos de coronavirus en crucero que arribará a Cozumel,0
"Por miedo al Covid-19, indígenas embarazadas buscan parteras",1
Instalarán módulos médicos en Aeropuerto de Tijuana ante coronavirus,0
Sanitizan todos los centros penitenciarios de la ciudad,0
"Profesor del IPN en Tamaulipas, negativo al nuevo coronavirus",0
Papa Francisco da negativo a prueba de coronavirus,0
Arrojan café a enfermera por temor a que los contagiara de coronavirus,1
AMLO no cancelará sus conferencias de prensa matutinas por coronavirus,0
"Por temor al coronavirus, 5 países rechazan a ""crucero errante""",1
Alertan de secuelas en pacientes Covid: de cansancio excesivo a daño pulmonar,1
"Coronavirus de Wuhan podría haberse originado en murciélagos, apuntan recientes estudios",0
Pacientes con VIH esperan hasta cinco meses para iniciar tratamiento en Jalisco,0
"La creatividad no tiene límites: Lanzan ""La cumbia del coronavirus""",1
"Por coronavirus, Yucatán adquiere 110 respiradores de alta tecnología",0
Segunda dosis de la vacuna contra el covid-19 en Pachuca será en varias sedes,0
"""Checo"" Pérez da positivo a Covid-19; se perderá la Silverstone",0
"Pandemia está dejando trauma masivo en personal de enfermería, advierten",1
"Coronavirus, ¿Estamos preparados?",0
Brindan atenciones de salud mental a personal que atendió pacientes Covid,0
¿Por qué aún no hay vacuna contra el SIDA y la de Covid-19 se produjo en meses?,0
Descarta Ssa declarar estado de emergencia por coronavirus; no hay elementos: López-Gatell,0
Wuhan endurece la cuarentena y cierra todos los complejos residenciales,1
Dinamarca levanta alerta por mutación del coronavirus en visones,1
Escritor Luis Sepúlveda da positivo de coronavirus,0
Casi 90% de municipios de Guatemala está en alerta roja por covid,1
EU alerta de información incompleta sobre vacuna de AstraZeneca,1
"Cierra la Torre Eiffel por el coronavirus ""hasta nuevo aviso""",0
CDMX pasa a semáforo naranja; así serán las reaperturas,0
Laguneros ofrecen programa de apoyo psicosocial a personal médico,0
El año de la peste: el coronavirus de hace 355 años,1
OMS alerta sobre impacto en salud mental por Covid-19,1
"Europa, de luto por Covid y preocupada por nueva variante",1
"¡Sorprendente! Abuelita de 97 años, sobreviviente del holocausto, se recupera del covid-19",1
Ayuntamiento aplicará medidas para prevenir coronavirus,0
¿Por qué la gente compra desesperadamente papel de baño ante el coronavirus?,1
Universidad Autónoma de Querétaro inicia en animales pruebas contra covid-19,0
J Balvin revela que tiene Covid-19; ya se recupera,0
Una de cada 7 infecciones de coronavirus se produce entre trabajadores de la salud: OMS,1
Coronavirus: ¿el fin del mundo está cerca?,1
Jalisco reporta tres muertes por dengue en lo que va de 2021,0
E-commerce creció a la par del miedo al contagio por covid,1
Fármaco experimental reduce el riesgo de enfermedad grave o muerte por Covid,1
"Por coronavirus, no se cancelarán eventos públicos y concentraciones masivas: Sheinbaum",0
Caos en Davos por acaparar vacunas anticovid,1
Covid-19 pone una lupa sobre el medio ambiente,0
Vacuna Sinovac se probará en niños y adolescentes a finales de septiembre,0
Portugal confirma 14 casos de viruela del mono; temen aumento de contagios,1
No hay que alarmarse por quinta ola: Ssa ante incremento de contagios covid en Puebla,1
Se registra primer caso de coronavirus en Paraguay,0
"Gobernador de Veracruz pide no confiarse por semáforo verde de covid; ""lo vamos a cuidar""",0
La otra crisis de salud que se viene,1
Estas son las enfermedades que causaron alarma mundial antes del coronavirus en China,1
China cancela estreno de James Bond ante coronavirus,0
Entre miedo y apatía socio-ambiental: los residuos asociados al covid-19,1
Alerta Salud sobre síntomas del dengue; Hidalgo sin casos en cuatro meses,1
Analizan en México si coronavirus circula en población,0
Covid-19. Detectan una descendiente de la variante Delta que podría ser más contagiosa,1
Suspenden clases 1 mes para evitar contagios,1
Piden reforzar salud mental para personal médico ante depresión y ansiedad por covid-19,0
"Hidalgo cerró 2021 con 20 casos de dengue, sin ninguna defunción",0
Pfizer entrega solicitud de registro de su vacuna Covid en México,0
Lanza IMSS curso en línea sobre coronavirus,0
"No saludar de mano y beso, las recomendaciones contra el coronavirus",0
Diagnostican Covid-19 a gobernador de Querétaro,0
¿Por qué las compras de pánico de papel de baño ante el coronavirus?,1
"Hospitales privados no pueden diagnosticar Covid-19, dice subsecretario de Salud",0
Designan clínicas para casos positivos de coronavirus,0
Expertos alertan por uso de ivermectina y azitromicina,1
Confirman segundo caso de Covid-19 en Nuevo León,0
"Para evitar contagios de Covid-19, cerrarán panteones de Tlalpan",1
Arabia Saudita prohíbe a sus ciudadanos peregrinar a La Meca por coronavirus,0
"Por coronavirus, detectan campaña de phishing que busca engañar a usuarios",0
Científicos de la UNAM trabajan en estrategias para detectar el coronavirus,0
IMSS lanza Protocolo de Atención Integral a pacientes con VIH,0
‘Es como el final de una película de ciencia ficción’: médico vacunado contra covid-19,1
"EU pide a sus ciudadanos ""reconsiderar viajar a China"" por coronavirus",0
COVID-19. El lucro político con la crisis sanitaria,1
"Coronavirus también ‘infecta’ la web, advierte Kaspersky",1
"En Chihuahua, 10 municipios vuelven a semáforo naranja de covid-19",0
Detecta Bélgica cuatro casos positivos de la nueva cepa de coronavirus,0
Insultos y multas: el sufrimiento de los autistas en España con el confinamiento,1
En CDMX no hay indicios de una tercera ola por Covid,0
Pandemia aumenta las muertes por diabetes,1
¡Trasplante de médula la deja vivir! Isis logra superar el cáncer,1
"Boris Jonhson está estable, pero en cuidados intensivos por covid-19",0
Inicia operaciones unidad de terapia intensiva de hospital militar en Edomex,0
Farmacias realizan pruebas rápidas de covid por rebase de casos en módulos de CdMx,0
"En Países Bajos, dan positivo a Covid 61 pasajeros desde Sudáfrica; analizan si es Ómicron",0
"Por pandemia, se cancela la Feria Nacional de San Marcos, en Aguascalientes",1
Registran segunda muerte por virus del ébola en República Democrática del Congo,0
Brote de coronavirus es un viento contra los mercados,1
"Virus detectado en China se contagia entre humanos, según experto del gobierno",1
EU pide a ciudadanos evitar viajes no esenciales a Italia por coronavirus,0
Pide Gobierno a trabajadoras sexuales que dejen las calles por contagio,1
OMS alerta por riesgo de propagación de nuevo brote del virus de ébola,1
Habilitan call center en Quintana Roo para asesoría sobre coronavirus,0
EU declara emergencia de salud pública por coronavirus,0
Trump anuncia equipo de trabajo para contener coronavirus en EU,0
Asistió a una 'fiesta covid' para contagiarse y murió horas después,1
El coronavirus amenaza ingresos,1
Inicia el primer día de vacunación contra covid-19 para menores de 12 a 14 años en CDMX,0
Miles repudian restricciones por nueva ola de Covid en Europa,1
¿México…inmune al COVID-19?,1
"Por coronavirus, aíslan a un chino en Chihuahua",1
"BMV tiene su peor jornada en más de un año ""contagiada"" por coronavirus",1
Guardia Nacional resguardará hospitales con pacientes Covid en Edomex,0
El Munal fue cerrado tras reportar posible caso de covid-19,0
"""Nos contagiamos de dengue mientras estábamos encerrados por la cuarentena""",1
Invitan a campaña de salud masculina para detectar cáncer,0
Semáforo de Covid-19 en México: 16 estados en verde y 15 en amarillo,0
Moderna prueba posibles vacunas contra la viruela del mono,0
Sin besos ni abrazos: países cambian formas de saludar por el coronavirus,0
Peso y BMV retroceden ante permanencia de temores por coronavirus,1
Europa inicia vacunación contra covid-19 en adultos mayores y personal sanitario,0
Coronavirus colapsó la vida cotidiana,1
Tlalnepantla registra tendencia a la baja en positividad de pruebas Covid-19,0
"Declaran alerta máxima por Covid-19 en Tokio, sede de los Juegos Olímpicos",1
Están saturadas áreas Covid de 81 hospitales,0
Emite Secretaría de Salud recomendaciones preventivas por coronavirus,0
Chihuahua regresa a semáforo rojo por covid-19 tras aumento de casos,0
"Reina Isabel se vacunará contra el Covid-19 en las próximas semanas, adelantan",0
Emite gobierno de CDMX medidas ante la Fase 3 de Covid-19,0
Inai suspende plazos para atención de solicitudes de información por coronavirus,0
Gran Premio de China podría cambiar de fecha: F1,0
EU evalúa prohibir el ingreso de viajeros de Europa por el coronavirus,0
Se mantiene semáforo rojo por positividad de casos de Covid-19,0
Ventas de autos se derrumban 92% por coronavirus en China,1
"En Edomex, mil 720 mexiquenses están hospitalizados por covid-19",0
Investigan posible caso de coronavirus en Colombia; descartan uno en Brasil,0
Hepatitis infantil. ¿Cómo identificar si mi hija o hijo presenta algún síntoma?,0
IPN prueba efectividad de planta medicinal contra cáncer de mama,0
Se incrementa en jóvenes de 15 a 24 años violencia y depresión a un año del confinamiento,1
Surgen mapas en Google para seguir propagación del coronavirus,0
El Covid-19 exacerba la situación ya crítica de los pueblos indígenas,1
Detienen a supuesto doctor que aplicaba vacunas falsas de Covid-19,0
"Viruela del mono asusta a todos, menos a empresa que fabrica la vacuna y cuyas acciones se disparan",1
“Pandemia no hará nada a los mexicanos”,1
ARCO 2020: Más mujeres artistas y pocas bajas por coronavirus,0
CNAR toma precauciones por coronavirus,0
"Ricardo Salinas, dueño de TV Azteca, da positivo a Covid-19",0
Donald Trump da negativo en prueba de coronavirus,0
Identifican primer contagio de cepa británica de Covid-19 en Guanajuato,1
"Hacerse prueba de coronavirus, un calvario para muchos en EU",1
"Por coronavirus, ponen en cuarentena a huéspedes de hotel en España",1
El caos del Covid-19 infecta las prisiones de Latinoamérica,1
"Por Coronavirus, Milán transmite en vivo para China sus pasarelas en internet",0
"Chiapanecos, con miedo a vacunarse; “nuestro posh mata el covid”, dicen",1
"""Mundo, al borde de un catastrófico fracaso moral"", dice OMS sobre reparto de vacunas",1
¿En cuáles países hay casos de viruela del mono?,0
Shanghái reporta primeras muertes por Covid tras confinamiento,1
INE y Facebook se unen contra las fake news,0
Posponen el Auto Show de Beijing debido a Coronavirus,0
Peso cae de nuevo frente al dólar ‘contagiado’ por coronavirus,1
Instrumenta la UNAM acciones preventivas para evitar propagación de la COVID-19,0
Tampiqueño no puede salir de China por crisis de coronavirus,1
Descifran los secretos genéticos del Covid-19,1
Esposa de Justin Trudeau da positivo a coronavirus,0
Científico acusado de espía alertó que México no seguía protocolos por coronavirus,1
Puebla anuncia nuevo protocolo anticovid para fin de año,0
Diagnostican covid-19 a secretaria de Desarrollo Económico de Morelos,0
UNAM alerta por uso desmedido de redes sociales; podría vincularse a síntomas de depresión,1
Van seis muertos en China por coronavirus,1
Saber decidir ante pandemia Covid-19,1
Gobernador de Baja California ingresa a hospital por Covid-19,0
Walmart y Sam’s Club aplicarán vacunas contra covid-19 en casi 150 tiendas de California,0
El coronavirus infecta la agenda del espectáculo,1
OMS lanza campaña contra fake news sobre el coronavirus,0
Incendio en hospital covid-19 en Turquía deja nueve muertos,1
"Estrés, depresión y ansiedad, aqueja a la mitad de la población a consecuencia de covid-19",0
España adopta medidas para evitar situación de Italia con el coronavirus,0
"Piden enfermos renales continuidad en sus tratamientos, ahora relegados por Covid-19",0
"Ciudad china de Urumqi, en cuarentena por rebrote de Covid-19",1
"Coronavirus: pánico cerca, salud de lejitos",1
Siguen las tragedias en India: nuevo incendio en hospital mata a 15 pacientes con Covid-19,1
CdMx realizará pruebas de covid-19 en mercados públicos la próxima semana,0
Sacerdotes con covid-19 van de salida de la enfermedad: Diócesis de Torreón,0
Google pide a sus empleados trabajar desde casa por coronavirus,0
"Neymar, Di María y Paredes dan positivo a Covid-19",0
Tamaulipas activa protocolos de vigilancia epidemiológica por viruela del mono,0
La OMS declara que el coronavirus se ha convertido en una pandemia,0
"AICM, en espera de protocolo de la OMS por coronavirus",0
Australia detecta sus primeros cuatro casos de coronavirus,0
Confirman 10 casos de coronavirus en crucero de Japón,0
Invitan a capitalinos a realizar actividad física con sana distancia ante Covid-19,0
Piden a mexicanos evitar viajes internacionales por coronavirus,0
Alertan sobre posible caso de coronavirus en Michoacán,1
IMSS avanza en implementación de censo para reforzar atención de menores con cáncer,0
Experta prevé que nueva variante británica del Covid-19 “arrasará” en el mundo,1
España detecta 4 casos de la nueva cepa de Covid-19 surgida en Reino Unido,0
Asociación Médica Mundial teme que variante ómicron pueda ser tan peligrosa como el ébola,1
P&G retira productos de higiene por presencia de químico cancerígeno,0
Pandemia agrava situación laboral de médicos,1
Coronavirus podría ser eliminado si se desinfectan superficies,0
[Podcast] Las claves del mundo | Trump tiene Covid-19 y aumenta el caos en EU,1
México cuenta con pruebas para confirmar casos sospechosos de coronavirus,0
Hijos mandan emotivo mensaje a doctora que lucha contra el coronavirus en Wuhan,1
"EU se prepara para ""explosión"" de casos de covid-19 tras Acción de Gracias",1
"“Como en la guerra, tenemos que escoger a quién salvar”: médico italiano por brote de coronavirus",1
Tamaulipas realiza simulacro para atención de pacientes por coronavirus,0
"Pfizer dice que su vacuna contra Covid tiene efectividad del 95%, según sus resultados finales",0
Ya son 16 casos de coronavirus en México; hay 82 sospechosos,0
Gobernador de Guerrero pide evitar alarmarse por el coronavirus,1
Aeropuerto opera sin cambios ante llegada de coronavirus,0
Italia registra 368 muertes por coronavirus en las últimas 24 horas,0
Dan por terminado plan de vacunación anti-Covid en CDMX,0
"El Covid-19 le trajo a Eduardo Yáñez ansiedad, pánico y desequilibrio emocional",1
Trump advierte que tomará las medidas necesarias frente a coronavirus,0
Hasta 20 adolescentes con depresión son atendidos en DIF Tampico,0
OMS alerta de “rebrote mortal” si se levanta confinamiento,1
Vacunación intensiva de covid alcanza un 70% de avance en Hidalgo ,0
Imágenes de la desgarradora crisis que vive India por una nueva ola de Covid-19,1
Coronavirus de Wuhan ya dejó más muertos que el Sras en China,1
Australia aprueba vacuna contra Covid-19 para niños de 5 a 11 años,0
Alemania decreta 21 días de aislamiento ante contagio de viruela del mono,1
Alertan por daños mentales en menores tras confinamiento por Covid,1
"Riesgo de contagio y falta de personal, miedos que enfrenta médico que atiende covid",1
"“Coronavirus: Miedo, Muerte y Política”",1
Portugal llega al centenar de casos de viruela del mono,0
Se han detectado 88 casos de Covid-19 tras regreso a clases presenciales: SEP,0
Veneno de un caracol puede ayudar a tratar la malaria,1
"Adaptarse al miedo, el reto ante la pandemia por el coronavirus",1
Ssa actualiza medidas del semáforo Covid,0
Falta de atención y desabasto de medicamentos; Covid-19 ha dejado una huella imborrable en personas con VIH,0
Primer caso en Tailandia de nuevo virus procedente de China,0
Hong Kong cierra museos por coronavirus,0
"Ricky Martín pide frenar propagación del ""monstruo"" Covid-19",1
OMS alerta que 73 países corren riesgo de quedarse sin fármacos contra el VIH,1
Pandemia por Covid-19 es la peor crisis mundial desde 1945: ONU,1
"Ante Covid-19 grave, mezcla de dos fármacos reduce a la mitad el riesgo de muerte: estudio",1
Biden gana las primarias de 3 estados durante crisis por coronavirus,1
Murieron solos: matrimonio de 'abuelitos' falleció el mismo día por coronavirus,1
Nunca hubo un incremento exponencial de hospitalizaciones por Covid-19 en CDMX: Sheinbaum,0
"“¡Mátenla!”, pide hombre en Honduras para presunta enferma de coronavirus",1
"Cuauhtémoc Cárdenas tiene Covid-19, revela AMLO",0
Tamaulipas activa protocolo de bioseguridad por caso sospechoso de coronavirus,0
OMS mantiene Covid-19 en nivel de pandemia,0
"Por alerta de coronavirus, pondrán atención en aeropuerto de Tijuana",1
OMS alerta de crecimiento exponencial del covid-19 en Europa y pide más medidas,1
Crisis por Covid-19 agrava desnutrición en los niños,1
Maduro ordena suspender clases en Venezuela por el resto del año por covid-19,0
"Las nuevas restricciones en China tras repunte ""extremadamente grave"" de Covid-19",1
"Crónicas del coronavirus. Aeropuerto de la CDMX, sin medidas de seguridad",0
Confirman 21 casos de coronavirus dentro crucero en EU,0
Variante brasileña de coronavirus causa mayor temor,1
El Vaticano vuelve a cerrar sus museos por rebrote,0
"Por coronavirus, Samsung para operación de planta de smartphones en Corea del Sur",0
Rusia afirma que vacuna Sputnik V es eficaz en un 95%,0
"Coronavirus puede sobrevivir en el aire durante 30 minutos, según estudio",1
Diputados piden fortalecer protocolos en aeropuertos por coronavirus,0
Encendido de la antorcha olímpica será a puerta cerrada por el coronavirus,0
Congreso de sindicato contó con pruebas Covid y medidas sanitarias: SRE,0
Fauci considera probable que nueva cepa del coronavirus ya esté en EU,0
¿Qué es una emergencia internacional y por qué fue declarada por la OMS?,0
“Adquiérela antes de que te mate”: llega la playera del coronavirus tour al estilo death metal,1
"Covid-19 amenaza avances en lucha contra el sida, advierte la ONU",1
Coronavirus. Crónica de un vuelo fantasma: los aeropuertos se vacían por el COVID-19,1
"Edad o problemas de coagulación, factores de riesgo de morir por coronavirus",1
Baja asistencia registra el módulo de vacunación permanente contra el covid-19,0
Comerciantes de Coyoacán no tienen miedo al coronavirus; atienden sin cubrebocas,1
Coronavirus ‘tira’ bolsas del mundo; dispara precios del dólar y oro,1
"""Tengo miedo"", dice enfermera que atendió el primer caso de Covid-19 en Sonora",1
Repatriarán a 62 estudiantes guanajuatenses en China que así lo deseen,0
Los expertos mexicanos que encabezan el plan de salud contra Covid-19,0
"Qué es el SARS, el virus antecedente al coronavirus",0
China aísla a Wuhan para frenar coronavirus,1
"Hugo López-Gatell, subsecretario de Salud, da positivo a Covid-19",0
Brindan atención psicológica gratuita en este “Blue Monday”,0
"Fallecen 4 personas por covid en un día en Tepeji, edil pide cancelar elección",0
"Hospitales en AL están ""peligrosamente llenos"" por covid-19, alerta OPS",1
Compras de pánico por coronavirus disparan el precio del papel de baño,1
"OMS advierte: ""ómicron es un riesgo muy alto para el mundo""",1
Tiene Puebla plan estratégico de respuesta por eventual llegada de coronavirus,0
Este es el impacto del coronavirus a la economía de China y del mundo,0
Reportan 3 muertes más de policías capitalinos por posible Covid,0
¿La viruela del mono será una epidemia? Esto opina un experto,1
Ecuador analiza caso sospechoso de viruela de mono,0
Asociación Civil crea animaciones para que grupos indígenas comprendan al Covid-19,0
Guinea-Conakri declara epidemia por virus del ébola,0
Moderna inicia ensayo en humanos de vacuna contra VIH con ARN mensajero,0
Pedirán a ayuntamientos marcar bolsas que contengan desechos de covid-19,0
Francia confirma tercer caso de coronavirus,0
"""La prioridad es salvar vidas"", ante emergencia por Covid-19 en Cuernavaca",1
Los impactos de la inseguridad y violencia en la salud mental: un problema público en el olvido,0
Alertan sobre el impacto de violencia de género en salud mental de las mujeres,1
OMS planea contener viruela del mono minimizando transmisión humana,0
Pandemia del Covid-19 está empeorando en el mundo: OMS,1
"Ansiedad, depresión; identifica si alguien cercano sufre de 'bullying'",0
Vocero del presidente ruso Vladimir Putin da positivo al coronavirus,0
China enfrenta el peor repunte de covid-19 desde Wuhan,1
Italia interrumpe todas las actividades productivas excepto las esenciales por Covid-19,0
Científicos de EU crean mapa 3D de coronavirus,0
"Por Covid-19, cierran todos los panteones de Puebla en Día de Muertos",0
Chimalhuacán denuncia retraso en resultado de pruebas Covid-19,0
"Por Covid-19, Inglaterra y Portugal anuncian nuevos confinamientos",1
OPS pide a países de Prosur trabajar juntos para obtener vacuna contra covid-19,0
Rusia cierra fronteras con China por coronavirus,0
La vacuna contra el VIH de Moderna entró en fase de prueba con humanos ,0
Disneyland en Hong Kong anuncia cierre por coronavirus,0
Tenemos menos muertes por Covid que otros países: AMLO,0
"Joe Biden da negativo a covid-19, tras contagio de Donald Trump",0
Jalisco preparado ante posible epidemia de coronavirus,1
Cáncer se mantiene como una de las principales causas de muerte,0
SCT: se mantiene vigilancia epidemiológica por Covid-19; no se restringirán vuelos,0
OPS advierte por ola de contagios más larga,1
Tokio no considera la cancelación de los Juegos Olímpicos por el coronavirus,0
Cierran fábricas por ola de Covid en China,0
Dan positivo a coronavirus dos bomberos en Pachuca,0
Advierten crisis en niños tras pandemia de Covid-19; los ha dejado en orfandad,1
"Por miedo a coronavirus, el Louvre no aceptará billetes",1
Futuro sombrío en EU por contagio de Trump,1
Pemex confirma 357 nuevos casos de coronavirus en su personal,0
En riesgo personal de salud de padecer estrés postraumático,1
Depresión posparto: Qué es y cuáles son los síntomas,0
"En Estados Unidos, reguladores aprueban primer tratamiento contra el ébola",0
Amplían aislamiento de China por coronavirus,1
"Por coronavirus, parques de Disney en Tokio cerrarán durante dos semanas",0
"Coronavirus, la pandemia que llegará",1
"Plácido Domingo, infectado por coronavirus",1
"Jair Bolsonaro, presidente de Brasil, da positivo a coronavirus",0
Se infectan de coronavirus 200 persona tras servicio religioso en Fráncfort,1
"Iniciará ""nueva normalidad"" con 31 estados en alto riesgo por Covid-19",1
"Aumentará pobreza en América Latina por Covid-19, alerta FAO",1
Desempleo puede empeorar por no controlarse pandemia: GOPAC,1
Coronavirus deja desolación en Costa Rica,1
CDMX se mantiene en semáforo verde con descenso de casos Covid-19 y sin repunte,0
"Moderna desarrolla vacunas para virus del herpes, varicela y dos tipos de cáncer",0
Posponen eventos y anuncian clases virtuales en Jalisco,0
Antivirales reducirían la duración de los síntomas de la viruela del mono: informe,0
Corea del Norte cierra su frontera con China por nuevo coronavirus,0
"Restaurantes y aerolíneas, los más “infectados” económicamente",1
OMS reúne a 300 expertos para estudiar prevención y tratamiento de coronavirus,0
Francia prohíbe el uso de la hidroxicloroquina para tratar coronavirus,0
¡Otro actor infectado! Idris Elba da positivo por coronavirus,1
Este jueves inicia la campaña de vacunación contra la influenza en CDMX,0
Profesor del IPN mantuvo contacto con 2 personas a su regreso de China,0
Fallece en China doctor que atendía a pacientes del coronavirus en Wuhan,0
"Pánico y vacunas, la solución; nosotros",1
"Turismo responsable, necesario para reactivar viajes tras coronavirus",0
Ampliación del IMSS en Magdalena de las Salinas recibe primeros pacientes con Covid-19,0
Wuhan efectúa más de 6.5 millones de pruebas de Covid-19 en 10 días,0
Bolsa mexicana cae de nuevo por temores al coronavirus,1
Coronavirus podría posponer misión comercial de Coahuila a China,0
Prenden alertas en Alemania y China por rebote de Covid-19,1
Foreigner infecta de rock a México,1
"Maquilas de la frontera, en alerta roja por rebrote de Covid",1
El mundo no tomó en serio emergencia por coronavirus: OMS,1
Se adelanta góber y “predice” expansión de coronavirus,1
¿Se equivoca AMLO con el coronavirus?,1
Hacen prueba de coronavirus a tripulante y pasajera de crucero en Cozumel,0
"‘Coronavirus, la epidemia’",1
Niegan alerta máxima en hospital de CDMX por coronavirus,1
EU vigilará vuelos provenientes de China tras segunda muerte por extraño virus,1
Próximo martes inicia aplicación de vacuna Covid para adultos de 40 a 49 años en 4 alcaldías,0
